Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
prop-6,452,2,2,0,5,9,1,1,4,1,2,49,0,0,0.909090909,0.75,1,1,23.5,1,0.5,1
prop-6,452,3,1,0,1,3,3,1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
prop-6,452,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
prop-6,452,2,2,0,5,7,1,1,4,1,2,17,0,0,0.909090909,0.75,1,2,7.5,1,0.5,0
prop-6,452,23,1,0,10,23,253,2,8,23,2,23,0,0,0,0.255434783,0,0,0,1,1,0
prop-6,452,13,1,0,3,18,26,3,0,13,0.75,134,1,0,0,0.512820513,0,0,8.923076923,1,0.8462,0
prop-6,452,12,1,0,8,45,0,4,5,10,0.651515152,234,1,1,0,0.309090909,0,0,18,3,1.5833,1
prop-6,452,29,1,0,23,48,274,22,1,23,0.876984127,459,1,0,0,0.310344828,0,0,14.51724138,3,1.1724,0
prop-6,452,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
prop-6,452,13,2,0,8,17,78,0,8,13,2,49,0,0,0.586206897,1,1,3,2.769230769,1,0.9231,0
prop-6,452,2,2,0,7,6,1,6,1,2,2,16,0,0,0.923076923,1,0,0,7,1,0.5,0
prop-6,452,5,1,0,16,53,8,1,15,2,1.232758621,364,1,0,0,0.52,0,0,66,8,3.2,0
prop-6,452,27,1,0,59,45,221,55,5,27,0.91958042,333,0.727272727,3,0,0.162962963,1,1,10.92592593,7,1.2963,0
prop-6,452,3,1,15,17,5,1,15,2,3,0.5,17,1,0,0,0.666666667,0,0,4.333333333,1,0.6667,0
prop-6,452,20,1,0,23,94,126,0,23,11,0.885964912,771,1,5,0,0.20242915,0,0,37.25,9,2.5,1
prop-6,452,7,1,0,25,41,3,16,9,3,0.666666667,261,1,1,0,0.333333333,0,0,35.71428571,4,1.5714,0
prop-6,452,2,2,0,5,9,1,1,4,1,2,69,1,0,0.909090909,0.75,2,2,32,7,3.5,0
prop-6,452,8,2,0,23,61,6,1,22,2,0.761904762,413,1,1,0.730769231,0.3,1,3,49.875,6,2.375,1
prop-6,452,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,0
prop-6,452,2,1,0,3,7,1,2,1,1,2,32,0,0,0,0.5,0,0,15,2,1,0
prop-6,452,3,2,0,8,14,3,1,7,3,2,55,0,0,0.75,0.555555556,0,0,17.33333333,2,1,0
prop-6,452,10,1,0,6,18,21,3,3,10,0.666666667,174,1,0,0,0.533333333,0,0,16,19,2.7,0
prop-6,452,5,1,0,8,5,10,3,5,5,2,5,0,0,0,0.433333333,0,0,0,1,1,0
prop-6,452,2,1,0,4,14,0,1,3,2,0,78,1,0,0,0.666666667,0,0,37.5,3,1.5,0
prop-6,452,9,1,0,18,17,16,16,2,9,0.525,112,1,1,0,0.472222222,0,0,10.88888889,2,0.7778,0
prop-6,452,6,2,0,10,9,9,10,0,4,0.857142857,91,0.428571429,5,0.764705882,0.4,1,1,13,1,0.6667,0
prop-6,452,16,1,0,15,50,68,0,15,12,0.816666667,365,1,7,0,0.2,0,0,21.3125,4,1.4375,0
prop-6,452,6,2,0,11,43,1,0,11,2,1,243,1,1,0.75,0.44,2,2,37.83333333,4,1.8333,0
prop-6,452,5,2,0,31,8,6,30,1,3,0.875,79,0.333333333,5,0.8125,0.416666667,1,1,13.6,1,0.6,0
prop-6,452,10,1,0,1,14,21,0,1,10,0.740740741,109,1,1,0,0.32,1,1,9.6,7,1.5,0
prop-6,452,1,1,0,0,2,0,0,0,1,2,7,0,0,0,1,0,0,3,0,0,0
prop-6,452,2,1,0,2,2,1,2,0,2,2,2,0,0,0,0.875,0,0,0,1,1,0
