Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
prop-4,285,2,3,0,16,16,1,0,16,2,2,127,0,0,0.9,0.625,1,1,62.5,1,0.5,0
prop-4,285,2,4,0,23,19,1,0,23,2,1,72,0,0,0.933333333,0.6,1,1,34.5,1,0.5,0
prop-4,285,4,6,0,8,13,4,0,8,1,1,42,0,0,0.913043478,0.555555556,2,2,8.75,1,0.5,0
prop-4,285,4,5,2,23,53,4,2,21,2,0.833333333,289,0,0,0.960784314,0.555555556,1,2,70.75,1,0.5,0
prop-4,285,2,2,0,11,10,1,0,11,2,2,39,0,0,0.8,0.666666667,1,1,18.5,1,0.5,0
prop-4,285,4,3,0,23,45,4,0,23,2,0.909090909,483,0.363636364,0,0.904761905,0.555555556,0,0,117,10,3.25,0
prop-4,285,2,3,0,24,26,1,0,24,2,1,97,0,0,0.857142857,0.625,1,1,47,1,0.5,0
prop-4,285,4,4,0,28,37,6,0,28,2,1,165,0,0,0.823529412,0.34375,1,1,39.75,1,0.75,1
prop-4,285,2,4,0,11,8,1,0,11,2,1,30,0,0,0.933333333,0.6,1,1,13.5,1,0.5,0
prop-4,285,2,7,0,5,5,1,0,5,1,2,13,0,0,0.965517241,0.75,1,1,5,1,0.5,0
prop-4,285,2,3,0,20,16,1,0,20,2,1,56,0,0,0.857142857,0.625,1,1,26.5,4,2,0
prop-4,285,2,3,0,13,14,1,0,13,2,2,46,0,0,0.857142857,0.625,1,1,22,1,0.5,0
prop-4,285,2,4,0,28,28,1,0,28,2,1,184,0,0,0.933333333,0.6,1,1,90.5,1,0.5,0
prop-4,285,2,3,0,13,18,1,0,13,2,2,68,0,0,0.857142857,0.625,1,1,33,1,0.5,1
prop-4,285,5,6,0,8,14,8,0,8,1,1,45,0,0,0.875,0.5,3,3,7.4,1,0.6,0
prop-4,285,5,6,0,8,14,8,0,8,1,1,45,0,0,0.875,0.5,3,3,7.4,1,0.6,0
prop-4,285,5,6,0,14,17,8,0,14,1,1,52,0,0,0.88,0.5,3,3,8.8,1,0.6,0
prop-4,285,5,5,0,8,13,10,0,8,1,2,49,0,0,0.885714286,0.7,3,4,8.8,3,1.2,0
prop-4,285,3,3,0,13,16,3,0,13,2,1.5,97,1,0,0.75,0.466666667,1,1,31,3,1.3333,0
prop-4,285,2,3,0,15,15,1,0,15,2,2,62,0,0,0.857142857,0.625,1,1,30,1,0.5,0
prop-4,285,4,5,0,28,40,4,1,27,3,1,141,0,0,0.960784314,0.555555556,4,8,33.5,1,0.5,0
prop-4,285,5,6,0,8,14,8,0,8,1,1,50,0,0,0.875,0.5,3,3,8.4,1,0.6,0
prop-4,285,2,7,0,10,11,1,0,10,1,2,47,0,0,0.965517241,0.75,1,1,22,7,3.5,0
prop-4,285,4,6,0,8,13,4,0,8,1,1,42,0,0,0.913043478,0.555555556,2,2,8.75,1,0.5,0
prop-4,285,4,5,0,16,19,4,4,12,3,1,75,0,0,0.960784314,0.555555556,4,8,17,1,0.5,0
prop-4,285,1,6,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
prop-4,285,5,5,0,18,56,4,2,16,4,0.916666667,245,0,0,0.942307692,0.666666667,4,8,47.4,1,0.6,1
prop-4,285,4,5,0,14,22,4,1,13,3,1,91,0,0,0.960784314,0.555555556,4,9,21,1,0.5,0
prop-4,285,4,4,0,4,7,6,0,4,1,2,16,0,0,0.903225806,0.4375,2,2,3,1,0.75,0
prop-4,285,5,6,0,12,18,4,0,12,1,0.916666667,79,0,0,0.875,0.666666667,2,3,14.2,1,0.6,0
prop-4,285,4,5,0,23,44,4,2,21,3,1,215,0,0,0.960784314,0.555555556,4,9,52,1,0.5,0
prop-4,285,4,5,0,12,24,4,1,11,3,1,94,0,0,0.960784314,0.555555556,4,8,21.75,1,0.5,0
prop-4,285,4,6,0,9,13,4,0,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
prop-4,285,2,3,0,9,12,1,0,9,2,2,41,0,0,0.857142857,0.625,1,1,19.5,1,0.5,0
prop-4,285,7,4,4,20,25,21,4,16,2,0.875,155,0,0,0.9,0.380952381,0,0,20.57142857,3,1.4286,0
prop-4,285,5,6,0,8,14,8,0,8,1,1,45,0,0,0.88,0.5,3,3,7.4,1,0.6,0
prop-4,285,5,1,0,22,30,6,1,21,3,0.5,185,0.5,0,0,0.5625,0,0,35.6,1,0.6,1
prop-4,285,6,3,0,20,42,11,0,20,2,0.775,454,0,0,0.791666667,0.75,1,1,73.33333333,6,2.6667,1
prop-4,285,7,1,0,8,27,15,1,7,3,0.666666667,244,0.666666667,0,0,0.5,0,0,33.42857143,5,1.8571,0
prop-4,285,2,4,0,5,9,1,0,5,2,1,46,0,0,0.973684211,0.6,2,3,21.5,2,1,0
prop-4,285,3,3,0,26,34,3,0,26,2,1,182,0,0,0.75,0.466666667,1,1,59.33333333,3,1.3333,0
prop-4,285,6,7,0,12,18,15,0,12,1,1.066666667,96,0,0,0.894736842,0.4,3,6,14.5,1,0.6667,0
prop-4,285,6,6,0,15,22,3,0,15,1,0.866666667,83,0,0,0.84,0.733333333,2,3,12.33333333,1,0.6667,0
prop-4,285,29,1,0,58,150,388,6,52,13,1.025,5499,0.914285714,0,0,0.125,0,0,186.2068966,41,4.4828,2
