classname ; numberOfVersionsUntil: ; numberOfFixesUntil: ; numberOfRefactoringsUntil: ; numberOfAuthorsUntil: ; linesAddedUntil: ; maxLinesAddedUntil: ; avgLinesAddedUntil: ; linesRemovedUntil: ; maxLinesRemovedUntil: ; avgLinesRemovedUntil: ; codeChurnUntil: ; maxCodeChurnUntil: ; avgCodeChurnUntil: ; ageWithRespectTo: ; weightedAgeWithRespectTo: ; bugs ; nonTrivialBugs ; majorBugs ; criticalBugs ; highPriorityBugs ; 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ; 7 ; 1 ; 0 ; 2 ; 22.0 ; 10.0 ; 3.14286 ; 8.0 ; 3.0 ; 1.14286 ; 14.0 ; 10.0 ; 2.0 ; 38.2857 ; 10.5779 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ; 14 ; 0 ; 0 ; 3 ; 60.0 ; 33.0 ; 4.28571 ; 45.0 ; 26.0 ; 3.21429 ; 15.0 ; 7.0 ; 1.07143 ; 91.7143 ; 43.4024 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ; 10 ; 0 ; 0 ; 2 ; 13.0 ; 5.0 ; 1.3 ; 15.0 ; 5.0 ; 1.5 ; -2.0 ; 4.0 ; -0.2 ; 110.714 ; 56.3626 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ; 3 ; 0 ; 0 ; 2 ; 6.0 ; 4.0 ; 2.0 ; 8.0 ; 6.0 ; 2.66667 ; -2.0 ; 0.0 ; -0.666667 ; 32.7143 ; 5.42857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ; 4 ; 0 ; 0 ; 2 ; 7.0 ; 4.0 ; 1.75 ; 7.0 ; 4.0 ; 1.75 ; 0.0 ; 3.0 ; 0.0 ; 92.4286 ; 60.1428 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ; 9 ; 0 ; 0 ; 2 ; 219.0 ; 191.0 ; 24.3333 ; 240.0 ; 212.0 ; 26.6667 ; -21.0 ; 7.0 ; -2.33333 ; 110.714 ; 24.015 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasklist::tests::Person ; 3 ; 1 ; 1 ; 2 ; 1.0 ; 1.0 ; 0.333333 ; 0.0 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0.333333 ; 190.571 ; 9.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ; 3 ; 0 ; 1 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 164.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ; 39 ; 0 ; 0 ; 3 ; 281.0 ; 98.0 ; 7.20513 ; 245.0 ; 37.0 ; 6.28205 ; 36.0 ; 61.0 ; 0.923077 ; 139.429 ; 40.9451 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::model::Subtask ; 6 ; 0 ; 0 ; 2 ; 10.0 ; 5.0 ; 1.66667 ; 9.0 ; 4.0 ; 1.5 ; 1.0 ; 4.0 ; 0.166667 ; 93.2857 ; 41.2714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskComment ; 6 ; 0 ; 0 ; 2 ; 14.0 ; 4.0 ; 2.33333 ; 11.0 ; 4.0 ; 1.83333 ; 3.0 ; 3.0 ; 0.5 ; 45.2857 ; 8.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ; 8 ; 0 ; 0 ; 2 ; 22.0 ; 8.0 ; 2.75 ; 19.0 ; 8.0 ; 2.375 ; 3.0 ; 4.0 ; 0.375 ; 46.5714 ; 8.61688 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ; 3 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 151.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider ; 4 ; 0 ; 0 ; 1 ; 2.0 ; 2.0 ; 0.5 ; 34.0 ; 32.0 ; 8.5 ; -32.0 ; 0.0 ; -8.0 ; 118.857 ; 26.2857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener ; 11 ; 0 ; 2 ; 3 ; 78.0 ; 14.0 ; 7.09091 ; 63.0 ; 14.0 ; 5.72727 ; 15.0 ; 12.0 ; 1.36364 ; 90.7143 ; 23.4853 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory ; 21 ; 0 ; 0 ; 3 ; 112.0 ; 58.0 ; 5.33333 ; 109.0 ; 58.0 ; 5.19048 ; 3.0 ; 58.0 ; 0.142857 ; 103.0 ; 23.6952 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler ; 3 ; 0 ; 0 ; 1 ; 5.0 ; 4.0 ; 1.66667 ; 2.0 ; 1.0 ; 0.666667 ; 3.0 ; 3.0 ; 1.0 ; 43.0 ; 16.4571 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage ; 32 ; 0 ; 2 ; 3 ; 103.0 ; 23.0 ; 3.21875 ; 71.0 ; 9.0 ; 2.21875 ; 32.0 ; 21.0 ; 1.0 ; 139.571 ; 58.4175 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction ; 10 ; 0 ; 0 ; 2 ; 155.0 ; 102.0 ; 15.5 ; 154.0 ; 104.0 ; 15.4 ; 1.0 ; 102.0 ; 0.1 ; 43.0 ; 3.29217 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ; 5 ; 1 ; 0 ; 2 ; 7.0 ; 4.0 ; 1.4 ; 6.0 ; 4.0 ; 1.2 ; 1.0 ; 1.0 ; 0.2 ; 32.7143 ; 9.55102 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter ; 6 ; 0 ; 1 ; 3 ; 7.0 ; 4.0 ; 1.16667 ; 7.0 ; 3.0 ; 1.16667 ; 0.0 ; 3.0 ; 0.0 ; 47.4286 ; 18.7755 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge ; 2 ; 0 ; 0 ; 1 ; 1.0 ; 1.0 ; 0.5 ; 5.0 ; 5.0 ; 2.5 ; -4.0 ; 0.0 ; -2.0 ; 8.0 ; 7.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser ; 3 ; 1 ; 1 ; 1 ; 21.0 ; 16.0 ; 7.0 ; 11.0 ; 9.0 ; 3.66667 ; 10.0 ; 7.0 ; 3.33333 ; 7.42857 ; 1.65986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider ; 26 ; 0 ; 0 ; 3 ; 147.0 ; 45.0 ; 5.65385 ; 109.0 ; 43.0 ; 4.19231 ; 38.0 ; 21.0 ; 1.46154 ; 139.571 ; 28.2323 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper ; 5 ; 0 ; 0 ; 2 ; 35.0 ; 15.0 ; 7.0 ; 14.0 ; 9.0 ; 2.8 ; 21.0 ; 14.0 ; 4.2 ; 13.5714 ; 4.30612 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart ; 10 ; 1 ; 0 ; 3 ; 133.0 ; 90.0 ; 13.3 ; 21.0 ; 5.0 ; 2.1 ; 112.0 ; 89.0 ; 11.2 ; 42.0 ; 2.67025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin ; 13 ; 0 ; 0 ; 2 ; 99.0 ; 43.0 ; 7.61538 ; 55.0 ; 42.0 ; 4.23077 ; 44.0 ; 42.0 ; 3.38462 ; 47.5714 ; 8.95094 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.42857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasks::tests::connector::MockTask ; 4 ; 0 ; 0 ; 2 ; 6.0 ; 4.0 ; 1.5 ; 3.0 ; 1.0 ; 0.75 ; 3.0 ; 3.0 ; 0.75 ; 49.8571 ; 23.119 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors ; 3 ; 0 ; 0 ; 1 ; 7.0 ; 5.0 ; 2.33333 ; 3.0 ; 2.0 ; 1.0 ; 4.0 ; 4.0 ; 1.33333 ; 45.8571 ; 26.102 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback ; 7 ; 0 ; 0 ; 2 ; 28.0 ; 8.0 ; 4.0 ; 22.0 ; 8.0 ; 3.14286 ; 6.0 ; 5.0 ; 0.857143 ; 54.0 ; 24.7653 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::zest::tests::swt::LayoutExample ; 2 ; 0 ; 0 ; 1 ; 2.0 ; 2.0 ; 1.0 ; 2.0 ; 2.0 ; 1.0 ; 0.0 ; 0.0 ; 0.0 ; 80.5714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::xplanner::soap::XPlanner::XPlannerHttpSender ; 7 ; 2 ; 0 ; 3 ; 25.0 ; 11.0 ; 3.57143 ; 11.0 ; 4.0 ; 1.57143 ; 14.0 ; 7.0 ; 2.0 ; 88.0 ; 44.3086 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::pde::ui::Messages ; 3 ; 0 ; 0 ; 1 ; 31.0 ; 31.0 ; 10.3333 ; 31.0 ; 31.0 ; 10.3333 ; 0.0 ; 31.0 ; 0.0 ; 19.1429 ; 5.14286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter ; 7 ; 0 ; 0 ; 2 ; 15.0 ; 6.0 ; 2.14286 ; 17.0 ; 8.0 ; 2.42857 ; -2.0 ; 3.0 ; -0.285714 ; 148.571 ; 82.3333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider ; 7 ; 0 ; 1 ; 3 ; 11.0 ; 4.0 ; 1.57143 ; 8.0 ; 2.0 ; 1.14286 ; 3.0 ; 3.0 ; 0.428571 ; 44.7143 ; 11.1299 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob ; 23 ; 0 ; 0 ; 3 ; 121.0 ; 27.0 ; 5.26087 ; 71.0 ; 15.0 ; 3.08696 ; 50.0 ; 21.0 ; 2.17391 ; 48.7143 ; 15.2243 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 8.57143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.42857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken ; 6 ; 0 ; 0 ; 2 ; 35.0 ; 19.0 ; 5.83333 ; 19.0 ; 11.0 ; 3.16667 ; 16.0 ; 8.0 ; 2.66667 ; 32.7143 ; 18.6735 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.42857 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl ; 4 ; 0 ; 0 ; 2 ; 68.0 ; 63.0 ; 17.0 ; 67.0 ; 65.0 ; 16.75 ; 1.0 ; 3.0 ; 0.25 ; 39.5714 ; 24.3761 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager ; 15 ; 0 ; 0 ; 2 ; 74.0 ; 33.0 ; 4.93333 ; 40.0 ; 9.0 ; 2.66667 ; 34.0 ; 24.0 ; 2.26667 ; 47.5714 ; 13.7529 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::confluence::core::Main ; 3 ; 0 ; 0 ; 1 ; 3.0 ; 2.0 ; 1.0 ; 4.0 ; 4.0 ; 1.33333 ; -1.0 ; 1.0 ; -0.333333 ; 32.7143 ; 1.71429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::sync::Messages ; 2 ; 1 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 2.0 ; 2.0 ; 1.0 ; -2.0 ; 0.0 ; -1.0 ; 14.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::trac::core::TracWikiHandler ; 13 ; 0 ; 0 ; 2 ; 88.0 ; 40.0 ; 6.76923 ; 30.0 ; 11.0 ; 2.30769 ; 58.0 ; 40.0 ; 4.46154 ; 84.7143 ; 19.0731 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler ; 15 ; 0 ; 0 ; 3 ; 495.0 ; 112.0 ; 33.0 ; 310.0 ; 156.0 ; 20.6667 ; 185.0 ; 61.0 ; 12.3333 ; 148.571 ; 75.0346 ; 1 ; 0 ; 0 ; 0 ; 1 ; 
org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider ; 4 ; 0 ; 0 ; 1 ; 4.0 ; 3.0 ; 1.0 ; 4.0 ; 3.0 ; 1.0 ; 0.0 ; 0.0 ; 0.0 ; 118.857 ; 19.7143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage ; 12 ; 0 ; 4 ; 2 ; 45.0 ; 20.0 ; 3.75 ; 37.0 ; 12.0 ; 3.08333 ; 8.0 ; 8.0 ; 0.666667 ; 109.857 ; 44.1079 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob ; 5 ; 0 ; 0 ; 2 ; 6.0 ; 4.0 ; 1.2 ; 3.0 ; 1.0 ; 0.6 ; 3.0 ; 3.0 ; 0.6 ; 88.0 ; 54.5952 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::context::core::InterestComparator ; 8 ; 0 ; 0 ; 2 ; 23.0 ; 7.0 ; 2.875 ; 21.0 ; 9.0 ; 2.625 ; 2.0 ; 3.0 ; 0.25 ; 139.714 ; 66.1242 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::context::ui::ContextEditorManager ; 14 ; 0 ; 0 ; 2 ; 215.0 ; 108.0 ; 15.3571 ; 156.0 ; 60.0 ; 11.1429 ; 59.0 ; 94.0 ; 4.21429 ; 47.4286 ; 6.12691 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink ; 4 ; 0 ; 0 ; 2 ; 10.0 ; 5.0 ; 2.5 ; 6.0 ; 4.0 ; 1.5 ; 4.0 ; 4.0 ; 1.0 ; 39.8571 ; 19.7857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier ; 3 ; 0 ; 0 ; 2 ; 5.0 ; 3.0 ; 1.66667 ; 5.0 ; 3.0 ; 1.66667 ; 0.0 ; 0.0 ; 0.0 ; 32.7143 ; 6.05714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider ; 5 ; 0 ; 0 ; 2 ; 17.0 ; 9.0 ; 3.4 ; 13.0 ; 8.0 ; 2.6 ; 4.0 ; 3.0 ; 0.8 ; 46.0 ; 7.95798 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob ; 5 ; 0 ; 3 ; 1 ; 139.0 ; 131.0 ; 27.8 ; 134.0 ; 131.0 ; 26.8 ; 5.0 ; 131.0 ; 1.0 ; 22.7143 ; 0.219938 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter ; 2 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 5.0 ; 5.0 ; 2.5 ; -5.0 ; 0.0 ; -2.5 ; 18.0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::trac::core::TracClientFactory ; 13 ; 0 ; 0 ; 2 ; 40.0 ; 10.0 ; 3.07692 ; 39.0 ; 15.0 ; 3.0 ; 1.0 ; 5.0 ; 0.0769231 ; 133.0 ; 59.9536 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation ; 4 ; 0 ; 0 ; 3 ; 6.0 ; 4.0 ; 1.5 ; 3.0 ; 1.0 ; 0.75 ; 3.0 ; 3.0 ; 0.75 ; 27.8571 ; 6.19048 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::core::AbstractTask ; 34 ; 0 ; 1 ; 3 ; 208.0 ; 83.0 ; 6.11765 ; 300.0 ; 106.0 ; 8.82353 ; -92.0 ; 71.0 ; -2.70588 ; 45.1429 ; 6.77816 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage ; 1 ; 0 ; 0 ; 1 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.42857 ; 0 ; 2 ; 2 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover ; 3 ; 1 ; 0 ; 2 ; 14.0 ; 13.0 ; 4.66667 ; 14.0 ; 13.0 ; 4.66667 ; 0.0 ; 0.0 ; 0.0 ; 32.7143 ; 2.17347 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler ; 22 ; 0 ; 0 ; 3 ; 142.0 ; 50.0 ; 6.45455 ; 186.0 ; 115.0 ; 8.45454 ; -44.0 ; 13.0 ; -2.0 ; 133.571 ; 66.2012 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager ; 5 ; 1 ; 0 ; 1 ; 149.0 ; 127.0 ; 29.8 ; 19.0 ; 11.0 ; 3.8 ; 130.0 ; 127.0 ; 26.0 ; 24.7143 ; 9.25312 ; 1 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler ; 14 ; 0 ; 0 ; 2 ; 111.0 ; 37.0 ; 7.92857 ; 96.0 ; 24.0 ; 6.85714 ; 15.0 ; 13.0 ; 1.07143 ; 133.571 ; 7.74517 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::trac::ui::WebHyperlink ; 6 ; 0 ; 0 ; 3 ; 19.0 ; 9.0 ; 3.16667 ; 13.0 ; 9.0 ; 2.16667 ; 6.0 ; 4.0 ; 1.0 ; 105.571 ; 74.3684 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder ; 9 ; 0 ; 0 ; 2 ; 17.0 ; 4.0 ; 1.88889 ; 25.0 ; 16.0 ; 2.77778 ; -8.0 ; 3.0 ; -0.888889 ; 66.8571 ; 26.3193 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::wikitext::core::util::Messages ; 2 ; 0 ; 0 ; 1 ; 1.0 ; 1.0 ; 0.5 ; 1.0 ; 1.0 ; 0.5 ; 0.0 ; 0.0 ; 0.0 ; 19.8571 ; 2.0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 
org::eclipse::mylyn::tasks::ui::editors::TaskEditor ; 148 ; 3 ; 5 ; 3 ; 1921.0 ; 340.0 ; 12.9797 ; 1555.0 ; 335.0 ; 10.5068 ; 366.0 ; 130.0 ; 2.47297 ; 118.714 ; 53.4594 ; 8 ; 5 ; 0 ; 0 ; 1 ; 
