%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly 
% available in order to encourage repeatable, refutable, verifiable, and/or  
% improvable predictive models of software engineering. 
%
% If you publish material based on PROMISE data sets then, please follow 
%the acknowledgment guidelines posted on the PROMISE repository web page
% http://promise.site.uottowa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%--Title: AR6 /Software Defect Prediction
%--Date: February, 4th, 2009
%--Data from a Turkish white-goods manufacturer
%--Donated by: Software Research Laboratory (Softlab), 
%              Bogazici University, Istanbul, Turkey
%--Website: http://softlab.boun.edu.tr
%--Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%--Description:
%Embedded software in a white-goods product.
%Implemented in C.
%Consists of 101 modules (15 defective / 86 defect-free)
%29 static code attributes (McCabe, Halstead and LOC measures) and 1 defect information(false/true)
%Function/method level static code attributes are collected using 
%Prest Metrics Extraction and Analysis Tool [1].

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation ar6

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data 
8,0,4,0,4,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0,0,0,0,0,1,0.25,0,0,0,0.13,0,false
13,0,1,0,12,10,8,21,26,18,47,135,0.12,8.33,1125,0.05,62.5,2,1,0,0,0,2,0.17,0,0,0,0.15,0,false
20,0,12,0,8,14,12,21,34,26,55,179,0.11,9.09,1627.27,0.06,90.4,6,3,0,3,0,4,0.5,1,0,0,0.2,0,false
40,0,17,0,23,20,18,64,90,38,154,560,0.03,33.33,18666.67,0.19,1037.04,24,12,1,11,2,11,0.48,1.09,1,0.09,0.28,0,false
8,0,3,0,5,7,13,13,21,20,34,101,0.08,12.5,1262.5,0.03,70.14,4,2,0,1,0,3,0.6,2,0,0,0.38,1,false
10,0,2,0,8,4,5,5,10,9,15,32,0.32,3.13,100,0.01,5.56,2,1,1,1,0,2,0.25,1,1,0.5,0.2,0,false
9,0,1,0,8,4,5,4,11,9,15,32,0.4,2.5,80,0.01,4.44,2,1,2,0,0,2,0.25,0,2,1,0.22,0,false
24,0,5,0,19,14,9,41,55,23,96,301,0.08,12.5,3762.5,0.1,209.03,16,8,0,8,4,5,0.26,1,0,0,0.21,0,false
25,1,8,0,16,21,11,38,47,32,85,294,0.1,10,2940,0.1,163.33,6,3,3,2,1,3,0.19,1.5,3,1,0.12,0,true
6,0,1,0,5,3,3,3,7,6,10,17,0.67,1.49,25.37,0.01,1.41,0,0,2,0,0,1,0.2,0,2,2,0.17,0,false
6,0,0,0,6,5,4,7,9,9,16,35,0.36,2.78,97.22,0.01,5.4,0,0,0,0,0,1,0.17,0,0,0,0.17,0,false
6,0,1,0,5,6,4,7,9,10,16,36,0.43,2.33,83.72,0.01,4.65,0,0,0,0,0,1,0.2,0,0,0,0.17,0,false
20,0,5,0,15,14,7,24,32,21,56,170,0.17,5.88,1000,0.06,55.56,8,4,2,4,1,4,0.27,1,2,0.5,0.2,0,true
11,0,5,0,6,10,4,11,13,14,24,63,0.45,2.22,140,0.02,7.78,0,0,1,0,0,1,0.17,0,1,1,0.09,0,true
6,0,1,0,5,3,3,3,7,6,10,17,0.67,1.49,25.37,0.01,1.41,0,0,2,0,0,1,0.2,0,2,2,0.17,0,false
7,0,0,0,7,6,12,14,21,18,35,101,0.07,14.29,1442.86,0.03,80.16,2,1,0,0,0,2,0.29,0,0,0,0.29,1,false
10,0,1,0,9,9,11,17,29,20,46,137,0.1,10,1370,0.05,76.11,2,1,3,0,0,2,0.22,0,3,1.5,0.2,1,false
9,0,2,0,7,6,7,9,18,13,27,69,0.19,5.26,363.16,0.02,20.18,4,2,2,2,1,2,0.29,1,2,1,0.22,0,false
5,0,2,0,3,4,4,4,7,8,11,22,0.5,2,44,0.01,2.44,0,0,1,0,0,1,0.33,0,1,1,0.2,0,false
7,0,0,0,7,10,8,23,25,18,48,138,0.11,9.09,1254.55,0.05,69.7,0,0,4,0,0,1,0.14,0,4,4,0.14,0,false
7,0,0,0,7,9,9,22,32,18,54,156,0.09,11.11,1733.33,0.05,96.3,0,0,0,0,0,1,0.14,0,0,0,0.14,1,false
12,0,3,0,9,12,7,23,27,19,50,147,0.15,6.67,980,0.05,54.44,0,0,7,0,0,1,0.11,0,7,7,0.08,0,false
14,0,2,0,12,13,9,26,42,22,68,210,0.11,9.09,1909.09,0.07,106.06,6,3,0,3,1,3,0.25,1,0,0,0.21,1,false
32,0,2,0,30,20,9,48,64,29,112,377,0.09,11.11,4188.89,0.13,232.72,14,7,5,7,1,7,0.23,1,5,0.71,0.22,0,false
6,0,1,0,5,5,6,5,9,11,14,33,0.33,3.03,100,0.01,5.56,2,1,0,1,0,2,0.4,1,0,0,0.33,0,false
22,0,3,0,19,13,5,20,29,18,49,141,0.26,3.85,542.31,0.05,30.13,8,4,1,4,2,3,0.16,1,1,0.33,0.14,0,false
