%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly 
% available in order to encourage repeatable, refutable, verifiable, and/or  
% improvable predictive models of software engineering. 
%
% If you publish material based on PROMISE data sets then, please follow 
%the acknowledgment guidelines posted on the PROMISE repository web page
% http://promise.site.uottowa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%--Title: AR1 /Software Defect Prediction
%--Date: February, 4th, 2009
%--Data from a Turkish white-goods manufacturer
%--Donated by: Software Research Laboratory (Softlab), 
%              Bogazici University, Istanbul, Turkey
%--Website: http://softlab.boun.edu.tr
%--Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%--Description:
%Embedded software in a white-goods product.
%Implemented in C.
%Consists of 121 modules (9 defective / 112 defect-free)
%29 static code attributes (McCabe, Halstead and LOC measures) and 1 defect information(false/true)
%Function/method level static code attributes are collected using 
%Prest Metrics Extraction and Analysis Tool [1].

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation ar1

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data 
7,0,4,0,3,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0,0,0,0,0,1,0.33,0,0,0,0.14,0,false
9,0,1,0,8,7,8,15,20,15,35,94,0.12,8.33,783.33,0.03,43.52,2,1,0,0,0,2,0.25,0,0,0,0.22,0,false
21,0,14,1,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,0.06,86.57,8,4,1,4,1,4,0.57,1,1,0.25,0.19,0,false
30,0,11,0,19,16,18,50,70,34,120,423,0.04,25,10575,0.14,587.5,20,10,1,9,2,9,0.47,1.11,1,0.11,0.3,0,true
8,0,2,0,6,4,5,5,10,9,15,32,0.32,3.13,100,0.01,5.56,2,1,1,1,0,2,0.33,1,1,0.5,0.25,0,false
7,0,1,0,6,4,5,4,11,9,15,32,0.4,2.5,80,0.01,4.44,2,1,2,0,0,2,0.33,0,2,1,0.29,0,false
22,0,5,0,17,15,9,38,50,24,88,279,0.09,11.11,3100,0.09,172.22,16,8,0,8,4,5,0.29,1,0,0,0.23,0,false
32,0,10,0,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,0.08,82.99,16,8,3,8,2,7,0.32,1,3,0.43,0.22,0,false
14,0,5,0,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,0.05,58.52,4,2,3,2,1,2,0.22,1,3,1.5,0.14,0,false
9,0,1,0,8,8,8,10,18,16,28,77,0.2,5,385,0.03,21.39,4,2,0,2,0,3,0.38,1,0,0,0.33,0,false
3,0,0,0,3,3,4,3,5,7,8,15,0.5,2,30,0.01,1.67,0,0,0,0,0,1,0.33,0,0,0,0.33,0,false
8,0,0,0,8,7,7,8,14,14,22,58,0.25,4,232,0.02,12.89,4,2,0,2,1,2,0.25,1,0,0,0.25,1,false
7,0,1,0,6,8,7,10,16,15,26,70,0.23,4.35,304.35,0.02,16.91,2,1,0,1,0,2,0.33,1,0,0,0.29,0,false
45,0,16,0,29,22,11,40,65,33,105,367,0.1,10,3670,0.12,203.89,18,9,4,9,2,7,0.24,1,4,0.57,0.16,0,false
