@relation ar3

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data 
307,116,44,5,147,138,23,245,366,161,611,3104,0.04898,20.4167,63373.3333,1.0347,3520.7407,94,47,43,39,10,37,0.2517,1.2051,43,1.1622,0.12052,0,true
3,0,0,0,3,4,6,6,8,10,14,32,0.22222,4.5,144,0.010667,8,0,0,0,0,0,1,0.33333,0,0,0,0.33333,0,false
268,72,22,0,174,125,23,337,484,148,821,4102,0.032254,31.004,127178.408,1.3673,7065.4671,190,95,0,94,32,64,0.36782,1.0106,0,0,0.23881,0,false
11,2,0,0,9,10,4,15,17,14,32,84,0.33333,3,252,0.028,14,0,0,2,0,0,1,0.11111,0,2,2,0.090909,0,false
9,2,0,0,7,7,4,11,13,11,24,57,0.31818,3.1429,179.1429,0.019,9.9524,0,0,1,0,0,1,0.14286,0,1,1,0.11111,0,false
10,2,0,0,8,7,4,13,15,11,28,67,0.26923,3.7143,248.8571,0.022333,13.8254,0,0,2,0,0,1,0.125,0,2,2,0.1,0,false
5,0,0,0,5,5,3,5,9,8,14,29,0.66667,1.5,43.5,0.0096667,2.4167,0,0,3,0,0,1,0.2,0,3,3,0.2,0,false
28,5,1,0,22,18,12,49,53,30,102,346,0.061224,16.3333,5651.3333,0.11533,313.963,8,4,2,3,1,4,0.18182,1.3333,2,0.5,0.14286,1,false
26,6,0,0,20,16,11,41,44,27,85,280,0.070953,14.0938,3946.25,0.093333,219.2361,4,2,2,1,0,3,0.15,2,2,0.66667,0.11538,0,false
15,4,0,0,11,11,5,19,22,16,41,113,0.23158,4.3182,487.9545,0.037667,27.1086,0,0,7,0,0,1,0.090909,0,7,7,0.066667,1,false
23,5,1,0,17,18,9,25,36,27,61,201,0.16,6.25,1256.25,0.067,69.7917,4,2,7,1,0,3,0.17647,2,7,2.3333,0.13043,2,false
10,4,0,0,6,9,6,24,23,15,47,127,0.125,8,1016,0.042333,56.4444,0,0,3,0,0,1,0.16667,0,3,3,0.1,2,false
23,5,1,0,17,15,10,43,58,25,101,325,0.069767,14.3333,4658.3333,0.10833,258.7963,16,8,4,8,4,5,0.29412,1,4,0.8,0.21739,1,false
76,11,11,2,54,49,14,116,166,63,282,1168,0.060345,16.5714,19355.4286,0.38933,1075.3016,58,29,17,29,14,16,0.2963,1,17,1.0625,0.21053,0,false
203,63,37,6,103,60,23,304,348,83,652,2881,0.017162,58.2667,167866.2667,0.96033,9325.9037,58,29,77,28,8,22,0.21359,1.0357,77,3.5,0.10837,0,false
64,18,7,1,39,35,14,75,97,49,172,669,0.066667,15,10035,0.223,557.5,24,12,8,12,3,10,0.25641,1,8,0.8,0.15625,0,false
94,21,17,3,56,35,18,103,145,53,248,984,0.037756,26.4857,26061.9429,0.328,1447.8857,32,16,29,16,4,12,0.21429,1,29,2.4167,0.12766,0,false
31,10,5,0,16,19,5,64,66,24,130,413,0.11875,8.4211,3477.8947,0.13767,193.2164,0,0,24,0,0,1,0.0625,0,24,24,0.032258,0,false
70,21,15,0,34,30,7,83,88,37,171,617,0.10327,9.6833,5974.6167,0.20567,331.9231,2,1,17,0,0,2,0.058824,0,17,8.5,0.028571,0,false
20,9,8,0,3,12,4,19,22,16,41,113,0.31579,3.1667,357.8333,0.037667,19.8796,0,0,9,0,0,1,0.33333,0,9,9,0.05,0,false
285,78,40,3,167,36,15,295,355,51,650,2555,0.016271,61.4583,157026.0417,0.85167,8723.669,40,20,109,20,3,15,0.08982,1,109,7.2667,0.052632,0,false
61,21,7,1,33,24,10,73,83,34,156,550,0.065753,15.2083,8364.5833,0.18333,464.6991,6,3,10,3,0,4,0.12121,1,10,2.5,0.065574,0,false
16,5,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0,0,1,0,0,1,0.090909,0,1,1,0.0625,1,false
17,6,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0,0,1,0,0,1,0.090909,0,1,1,0.058824,1,false
29,8,1,1,20,15,10,38,44,25,82,263,0.078947,12.6667,3331.3333,0.087667,185.0741,2,1,1,0,0,2,0.1,0,1,0.5,0.068966,2,false
82,31,7,4,44,25,11,57,91,36,148,530,0.079745,12.54,6646.2,0.17667,369.2333,24,12,2,11,3,10,0.22727,1.0909,2,0.2,0.12195,0,false
